"Name","SI","Handles","VM","WS","PM","NPM","Path","CommandLine","Parent","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","SafeHandle","Handle","BasePriority","ExitCode","HasExited","StartTime","ExitTime","Id","MachineName","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize64","NonpagedSystemMemorySize","PagedMemorySize64","PagedMemorySize","PagedSystemMemorySize64","PagedSystemMemorySize","PeakPagedMemorySize64","PeakPagedMemorySize","PeakWorkingSet64","PeakWorkingSet","PeakVirtualMemorySize64","PeakVirtualMemorySize","PriorityBoostEnabled","PriorityClass","PrivateMemorySize64","PrivateMemorySize","ProcessorAffinity","SessionId","StartInfo","Threads","HandleCount","VirtualMemorySize64","VirtualMemorySize","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet64","WorkingSet","SynchronizingObject","MainModule","PrivilegedProcessorTime","TotalProcessorTime","UserProcessorTime","ProcessName","MainWindowHandle","MainWindowTitle","Responding","Site","Container"
"Acrobat","1","1307","2204240637952","362278912","494100480","91344","C:\Program Files\Adobe\Acrobat DC\Acrobat\Acrobat.exe","""C:\Program Files\Adobe\Acrobat DC\Acrobat\Acrobat.exe"" --type=renderer /prefetch:1  ""C:\Users\gmeye\Desktop\Desktop\Books\Learn PowerShell in a Month of Lunches 4ed 2022.pdf""","System.Diagnostics.Process (Acrobat)","Adobe Systems Incorporated","873.8125","23.3.20269.0","23.3.20269.0","Adobe Acrobat ","Adobe Acrobat","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4700","8",,"False","8/13/2023 5:12:57 PM",,"404",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","91344","91344","494100480","494100480","670104","670104","591536128","591536128","535564288","535564288","2204311932928","993710080","True","Normal","494100480","494100480","15","1",,"System.Diagnostics.ProcessThreadCollection","1307","2204240637952","922415104","False",,,,"362278912","362278912",,"System.Diagnostics.ProcessModule (Acrobat.exe)","00:04:57.2656250","00:14:33.8125000","00:09:36.5468750","Acrobat","6948326","Learn PowerShell in a Month of Lunches 4ed 2022.pdf - Adobe Acrobat Reader (64-bit)","True",,
"Acrobat","1","687","2203562684416","6262784","41381888","26216","C:\Program Files\Adobe\Acrobat DC\Acrobat\Acrobat.exe","""C:\Program Files\Adobe\Acrobat DC\Acrobat\Acrobat.exe"" ""C:\Users\gmeye\Desktop\Desktop\Books\Learn PowerShell in a Month of Lunches 4ed 2022.pdf""","System.Diagnostics.Process (explorer)","Adobe Systems Incorporated","11.90625","23.3.20269.0","23.3.20269.0","Adobe Acrobat ","Adobe Acrobat","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4428","8",,"False","8/13/2023 5:12:57 PM",,"13408",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","26216","26216","41381888","41381888","318384","318384","57991168","57991168","67760128","67760128","2203595808768","277585920","True","Normal","41381888","41381888","15","1",,"System.Diagnostics.ProcessThreadCollection","687","2203562684416","244461568","False",,,,"6262784","6262784",,"System.Diagnostics.ProcessModule (Acrobat.exe)","00:00:07.0312500","00:00:11.9062500","00:00:04.8750000","Acrobat","0","","True",,
"AcroCEF","1","777","2238084149248","11718656","19185664","33000","C:\Program Files\Adobe\Acrobat DC\Acrobat\acrocef_1\AcroCEF.exe","""C:\Program Files\Adobe\Acrobat DC\Acrobat\acrocef_1\AcroCEF.exe"" --backgroundcolor=3289650","System.Diagnostics.Process (Acrobat)","Adobe Systems Incorporated","15.515625","23.3.20269.0","23.3.20269.0","Adobe AcroCEF","","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4940","8",,"False","8/13/2023 5:12:59 PM",,"3148",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","33000","33000","19185664","19185664","719720","719720","29822976","29822976","60100608","60100608","2238109401088","431439872","True","Normal","19185664","19185664","15","1",,"System.Diagnostics.ProcessThreadCollection","777","2238084149248","406188032","False",,,,"11718656","11718656",,"System.Diagnostics.ProcessModule (AcroCEF.exe)","00:00:06.3437500","00:00:15.5156250","00:00:09.1718750","AcroCEF","0","","True",,
"AcroCEF","1","322","2247154814976","5824512","41476096","21000","C:\Program Files\Adobe\Acrobat DC\Acrobat\acrocef_1\AcroCEF.exe","""C:\Program Files\Adobe\Acrobat DC\Acrobat\acrocef_1\AcroCEF.exe"" --type=renderer --log-severity=disable --user-agent-product=""ReaderServices/23.3.20269 Chrome/105.0.0.0"" --user-data-dir=""C:\Users\gmeye\AppData\Local\CEF\User Data"" --log-file=""C:\Program Files\Adobe\Acrobat DC\Acrobat\acrocef_1\debug.log"" --touch-events=enabled --disable-gpu-compositing --lang=en-US --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=8 --launch-time-ticks=115200568405 --mojo-platform-channel-handle=2876 --field-trial-handle=1620,i,1704192748636525108,10484443951432518117,131072 --disable-features=BackForwardCache,CalculateNativeWinOcclusion,WinUseBrowserSpellChecker /prefetch:1","System.Diagnostics.Process (AcroCEF)","Adobe Systems Incorporated","5.03125","23.3.20269.0","23.3.20269.0","Adobe AcroCEF","","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","1324","8",,"False","8/13/2023 5:13:00 PM",,"7656",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","21000","21000","41476096","41476096","583840","583840","70324224","70324224","103690240","103690240","2247678431232","1410535424","True","Normal","41476096","41476096","15","1",,"System.Diagnostics.ProcessThreadCollection","322","2247154814976","886919168","False",,,,"5824512","5824512",,"System.Diagnostics.ProcessModule (AcroCEF.exe)","00:00:00.5312500","00:00:05.0312500","00:00:04.5000000","AcroCEF","0","","True",,
"AcroCEF","1","304","2247152242688","1843200","32018432","20320","C:\Program Files\Adobe\Acrobat DC\Acrobat\acrocef_1\AcroCEF.exe","""C:\Program Files\Adobe\Acrobat DC\Acrobat\acrocef_1\AcroCEF.exe"" --type=renderer --log-severity=disable --user-agent-product=""ReaderServices/23.3.20269 Chrome/105.0.0.0"" --user-data-dir=""C:\Users\gmeye\AppData\Local\CEF\User Data"" --log-file=""C:\Program Files\Adobe\Acrobat DC\Acrobat\acrocef_1\debug.log"" --touch-events=enabled --disable-gpu-compositing --lang=en-US --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=6 --launch-time-ticks=115200459595 --mojo-platform-channel-handle=2592 --field-trial-handle=1620,i,1704192748636525108,10484443951432518117,131072 --disable-features=BackForwardCache,CalculateNativeWinOcclusion,WinUseBrowserSpellChecker /prefetch:1","System.Diagnostics.Process (AcroCEF)","Adobe Systems Incorporated","1.4375","23.3.20269.0","23.3.20269.0","Adobe AcroCEF","","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4968","8",,"False","8/13/2023 5:13:00 PM",,"8332",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","20320","20320","32018432","32018432","578816","578816","39931904","39931904","75132928","75132928","2247677448192","1409552384","True","Normal","32018432","32018432","15","1",,"System.Diagnostics.ProcessThreadCollection","304","2247152242688","884346880","False",,,,"1843200","1843200",,"System.Diagnostics.ProcessModule (AcroCEF.exe)","00:00:00.2812500","00:00:01.4375000","00:00:01.1562500","AcroCEF","0","","True",,
"AcroCEF","1","304","2247152177152","2199552","35848192","20184","C:\Program Files\Adobe\Acrobat DC\Acrobat\acrocef_1\AcroCEF.exe","""C:\Program Files\Adobe\Acrobat DC\Acrobat\acrocef_1\AcroCEF.exe"" --type=renderer --log-severity=disable --user-agent-product=""ReaderServices/23.3.20269 Chrome/105.0.0.0"" --user-data-dir=""C:\Users\gmeye\AppData\Local\CEF\User Data"" --log-file=""C:\Program Files\Adobe\Acrobat DC\Acrobat\acrocef_1\debug.log"" --touch-events=enabled --disable-gpu-compositing --lang=en-US --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=7 --launch-time-ticks=115200496271 --mojo-platform-channel-handle=2604 --field-trial-handle=1620,i,1704192748636525108,10484443951432518117,131072 --disable-features=BackForwardCache,CalculateNativeWinOcclusion,WinUseBrowserSpellChecker /prefetch:1","System.Diagnostics.Process (AcroCEF)","Adobe Systems Incorporated","2.015625","23.3.20269.0","23.3.20269.0","Adobe AcroCEF","","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4040","8",,"False","8/13/2023 5:13:00 PM",,"8892",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","20184","20184","35848192","35848192","578688","578688","54804480","54804480","90648576","90648576","2247677382656","1409486848","True","Normal","35848192","35848192","15","1",,"System.Diagnostics.ProcessThreadCollection","304","2247152177152","884281344","False",,,,"2199552","2199552",,"System.Diagnostics.ProcessModule (AcroCEF.exe)","00:00:00.1406250","00:00:02.0156250","00:00:01.8750000","AcroCEF","0","","True",,
"AcroCEF","1","339","2238026207232","1421312","9773056","20728","C:\Program Files\Adobe\Acrobat DC\Acrobat\acrocef_1\AcroCEF.exe","""C:\Program Files\Adobe\Acrobat DC\Acrobat\acrocef_1\AcroCEF.exe"" --type=gpu-process --log-severity=disable --user-agent-product=""ReaderServices/23.3.20269 Chrome/105.0.0.0"" --lang=en-US --user-data-dir=""C:\Users\gmeye\AppData\Local\CEF\User Data"" --gpu-preferences=UAAAAAAAAADgACAYAAAAAAAAAAAAAAAAAABgAAAAAAAwAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEgAAAAAAAAASAAAAAAAAAAYAAAAAgAAABAAAAAAAAAAGAAAAAAAAAAQAAAAAAAAAAAAAAAOAAAAEAAAAAAAAAABAAAADgAAAAgAAAAAAAAACAAAAAAAAAA= --use-gl=disabled --log-file=""C:\Program Files\Adobe\Acrobat DC\Acrobat\acrocef_1\debug.log"" --mojo-platform-channel-handle=3256 --field-trial-handle=1620,i,1704192748636525108,10484443951432518117,131072 --disable-features=BackForwardCache,CalculateNativeWinOcclusion,WinUseBrowserSpellChecker /prefetch:2","System.Diagnostics.Process (AcroCEF)","Adobe Systems Incorporated","0.859375","23.3.20269.0","23.3.20269.0","Adobe AcroCEF","","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3752","10",,"False","8/13/2023 5:13:01 PM",,"8956",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","20728","20728","9773056","9773056","615384","615384","11358208","11358208","29626368","29626368","2238032277504","354316288","True","AboveNormal","9773056","9773056","15","1",,"System.Diagnostics.ProcessThreadCollection","339","2238026207232","348246016","False",,,,"1421312","1421312",,"System.Diagnostics.ProcessModule (AcroCEF.exe)","00:00:00.1406250","00:00:00.8593750","00:00:00.7187500","AcroCEF","0","","True",,
"AcroCEF","1","326","2238018985984","6668288","10076160","21072","C:\Program Files\Adobe\Acrobat DC\Acrobat\acrocef_1\AcroCEF.exe","""C:\Program Files\Adobe\Acrobat DC\Acrobat\acrocef_1\AcroCEF.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --log-severity=disable --user-agent-product=""ReaderServices/23.3.20269 Chrome/105.0.0.0"" --lang=en-US --user-data-dir=""C:\Users\gmeye\AppData\Local\CEF\User Data"" --log-file=""C:\Program Files\Adobe\Acrobat DC\Acrobat\acrocef_1\debug.log"" --mojo-platform-channel-handle=2196 --field-trial-handle=1620,i,1704192748636525108,10484443951432518117,131072 --disable-features=BackForwardCache,CalculateNativeWinOcclusion,WinUseBrowserSpellChecker /prefetch:8","System.Diagnostics.Process (AcroCEF)","Adobe Systems Incorporated","2.46875","23.3.20269.0","23.3.20269.0","Adobe AcroCEF","","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5008","8",,"False","8/13/2023 5:13:00 PM",,"10252",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","21072","21072","10076160","10076160","595632","595632","10473472","10473472","29536256","29536256","2238028423168","350461952","True","Normal","10076160","10076160","15","1",,"System.Diagnostics.ProcessThreadCollection","326","2238018985984","341024768","False",,,,"6668288","6668288",,"System.Diagnostics.ProcessModule (AcroCEF.exe)","00:00:01.3125000","00:00:02.4687500","00:00:01.1562500","AcroCEF","0","","True",,
"AcroCEF","1","253","2238011277312","1110016","8155136","18040","C:\Program Files\Adobe\Acrobat DC\Acrobat\acrocef_1\AcroCEF.exe","""C:\Program Files\Adobe\Acrobat DC\Acrobat\acrocef_1\AcroCEF.exe"" --type=utility --utility-sub-type=storage.mojom.StorageService --lang=en-US --service-sandbox-type=utility --log-severity=disable --user-agent-product=""ReaderServices/23.3.20269 Chrome/105.0.0.0"" --lang=en-US --user-data-dir=""C:\Users\gmeye\AppData\Local\CEF\User Data"" --log-file=""C:\Program Files\Adobe\Acrobat DC\Acrobat\acrocef_1\debug.log"" --mojo-platform-channel-handle=2152 --field-trial-handle=1620,i,1704192748636525108,10484443951432518117,131072 --disable-features=BackForwardCache,CalculateNativeWinOcclusion,WinUseBrowserSpellChecker /prefetch:8","System.Diagnostics.Process (AcroCEF)","Adobe Systems Incorporated","0.625","23.3.20269.0","23.3.20269.0","Adobe AcroCEF","","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4624","8",,"False","8/13/2023 5:13:00 PM",,"16160",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","18040","18040","8155136","8155136","585080","585080","8278016","8278016","21557248","21557248","2238013374464","335413248","True","Normal","8155136","8155136","15","1",,"System.Diagnostics.ProcessThreadCollection","253","2238011277312","333316096","False",,,,"1110016","1110016",,"System.Diagnostics.ProcessModule (AcroCEF.exe)","00:00:00.2500000","00:00:00.6250000","00:00:00.3750000","AcroCEF","0","","True",,
"AcroCEF","1","320","2247151144960","2043904","34504704","20320","C:\Program Files\Adobe\Acrobat DC\Acrobat\acrocef_1\AcroCEF.exe","""C:\Program Files\Adobe\Acrobat DC\Acrobat\acrocef_1\AcroCEF.exe"" --type=renderer --log-severity=disable --user-agent-product=""ReaderServices/23.3.20269 Chrome/105.0.0.0"" --user-data-dir=""C:\Users\gmeye\AppData\Local\CEF\User Data"" --log-file=""C:\Program Files\Adobe\Acrobat DC\Acrobat\acrocef_1\debug.log"" --touch-events=enabled --disable-gpu-compositing --lang=en-US --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=11 --launch-time-ticks=246924320338 --mojo-platform-channel-handle=3556 --field-trial-handle=1620,i,1704192748636525108,10484443951432518117,131072 --disable-features=BackForwardCache,CalculateNativeWinOcclusion,WinUseBrowserSpellChecker /prefetch:1","System.Diagnostics.Process (AcroCEF)","Adobe Systems Incorporated","3.171875","23.3.20269.0","23.3.20269.0","Adobe AcroCEF","","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5032","8",,"False","8/15/2023 5:48:10 AM",,"18068",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","20320","20320","34504704","34504704","586912","586912","69619712","69619712","101810176","101810176","2247677448192","1409552384","True","Normal","34504704","34504704","15","1",,"System.Diagnostics.ProcessThreadCollection","320","2247151144960","883249152","False",,,,"2043904","2043904",,"System.Diagnostics.ProcessModule (AcroCEF.exe)","00:00:00.3281250","00:00:03.1718750","00:00:02.8437500","AcroCEF","0","","True",,
